pop,site,site_uni,trial,group,goal_z_lat,tot_z,body_length,learn_prop,goal_z_lat_LN,body_length_LN,learn_prop_LN,tot_z_LN,body_length_sc,tot_z_sc
Lower Aripo,1,Lower Aripo 1,1,1,317.434,60,18,1.155248020060863,5.760269922708201,2.8903717578961645,0.14431505690471683,4.0943445622221,-1.1867861857837219,-1.100445567909024
Lower Aripo,1,Lower Aripo 1,2,1,366.715,60,18,1.155248020060863,5.904584979612917,2.8903717578961645,0.14431505690471683,4.0943445622221,-1.1867861857837219,-1.100445567909024
Lower Aripo,1,Lower Aripo 1,1,2,70.102,76,20,1.527559841373998,4.249951324304023,2.995732273553991,0.42367158731851023,4.330733340286331,-0.44609693508182424,-0.5008219767263977
Lower Aripo,1,Lower Aripo 1,2,2,107.085,76,20,1.527559841373998,4.673622911622534,2.995732273553991,0.42367158731851023,4.330733340286331,-0.44609693508182424,-0.5008219767263977
Lower Aripo,1,Lower Aripo 1,1,3,139.189,34,18,1.4168289160781384,4.935832721789333,2.8903717578961645,0.348421216706604,3.5263605246161616,-1.1867861857837219,-2.0748339035807914
Lower Aripo,1,Lower Aripo 1,2,3,197.207,34,18,1.4168289160781384,5.284253938495937,2.8903717578961645,0.348421216706604,3.5263605246161616,-1.1867861857837219,-2.0748339035807914
Lower Aripo,1,Lower Aripo 1,1,4,600,34,20,0.563275,6.396929655216146,2.995732273553991,-0.5739873153906877,3.5263605246161616,-0.44609693508182424,-2.0748339035807914
Lower Aripo,1,Lower Aripo 1,2,4,337.965,34,20,0.563275,5.822942339825459,2.995732273553991,-0.5739873153906877,3.5263605246161616,-0.44609693508182424,-2.0748339035807914
Lower Aripo,1,Lower Aripo 1,1,5,600,52,20,0.6593983333333333,6.396929655216146,2.995732273553991,-0.41642747589799894,3.9512437185814275,-0.44609693508182424,-1.4002573635003368
Lower Aripo,1,Lower Aripo 1,2,5,395.639,52,20,0.6593983333333333,5.980502179318147,2.995732273553991,-0.41642747589799894,3.9512437185814275,-0.44609693508182424,-1.4002573635003368
Upper Aripo,2,Upper Aripo 2,1,11,5.807,80,22,2.635267780265197,1.759064086389913,3.091042453358316,0.9689848012189863,4.382026634673881,0.2945923156200734,-0.3509160789307412
Upper Aripo,2,Upper Aripo 2,2,11,15.303,80,22,2.635267780265197,2.728048887608899,3.091042453358316,0.9689848012189863,4.382026634673881,0.2945923156200734,-0.3509160789307412
Upper Aripo,2,Upper Aripo 2,1,12,46.949,63,20,0.3282924023940872,3.8490619061729134,2.995732273553991,-1.1138505970083308,4.143134726391533,-0.44609693508182424,-0.9880161445622815
Upper Aripo,2,Upper Aripo 2,2,12,15.413,63,20,0.3282924023940872,2.735211309164583,2.995732273553991,-1.1138505970083308,4.143134726391533,-0.44609693508182424,-0.9880161445622815
Upper Aripo,2,Upper Aripo 2,1,13,15.475,54,22,0.43592891760904684,2.73922581857066,3.091042453358316,-0.8302760819312013,3.9889840465642745,0.2945923156200734,-1.3253044146025086
Upper Aripo,2,Upper Aripo 2,2,13,6.746,54,22,0.43592891760904684,1.9089497366394585,3.091042453358316,-0.8302760819312013,3.9889840465642745,0.2945923156200734,-1.3253044146025086
Upper Aripo,2,Upper Aripo 2,1,14,42.854,83,18,1.2275400196014374,3.757798989578534,2.8903717578961645,0.20501218268171706,4.418840607796598,-1.1867861857837219,-0.23848665558399887
Upper Aripo,2,Upper Aripo 2,2,14,52.605,83,18,1.2275400196014374,3.9628111722602513,2.8903717578961645,0.20501218268171706,4.418840607796598,-1.1867861857837219,-0.23848665558399887
Upper Aripo,2,Upper Aripo 2,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper Aripo,2,Upper Aripo 2,2,15,30.919,NA,NA,NA,3.431370881669703,NA,NA,NA,NA,NA
Upper Aripo,2,Upper Aripo 2,1,16,102.09,84,22,0.48382799490645506,4.625854777180924,3.091042453358316,-0.7260258178534841,4.430816798843313,0.2945923156200734,-0.20101018113508473
Upper Aripo,2,Upper Aripo 2,2,16,49.394,84,22,0.48382799490645506,3.89982895932744,3.091042453358316,-0.7260258178534841,4.430816798843313,0.2945923156200734,-0.20101018113508473
Upper Aripo,2,Upper Aripo 2,1,17,11.887,90,30,1.6949608816354,2.475445365998487,3.4011973816621555,0.5276596618849168,4.499809670330265,3.257349318427664,0.023848665558400046
Upper Aripo,2,Upper Aripo 2,2,17,20.148,90,30,1.6949608816354,3.003105027883404,3.4011973816621555,0.5276596618849168,4.499809670330265,3.257349318427664,0.023848665558400046
Upper Aripo,2,Upper Aripo 2,1,18,46.676,53,22,0.9530808124089468,3.8432301139438607,3.091042453358316,-0.048055581012322365,3.970291913552122,0.2945923156200734,-1.3627808890514228
Upper Aripo,2,Upper Aripo 2,2,18,44.486,53,22,0.9530808124089468,3.7951745329315383,3.091042453358316,-0.048055581012322365,3.970291913552122,0.2945923156200734,-1.3627808890514228
Lower Aripo,2,Lower Aripo 2,1,19,23.225,84,22,1.4803013993541443,3.1452292846999024,3.091042453358316,0.392245715254801,4.430816798843313,0.2945923156200734,-0.20101018113508473
Lower Aripo,2,Lower Aripo 2,2,19,34.38,84,22,1.4803013993541443,3.5374749999547035,3.091042453358316,0.392245715254801,4.430816798843313,0.2945923156200734,-0.20101018113508473
Lower Aripo,2,Lower Aripo 2,1,20,26.741,50,18,1.1647657155678546,3.286197968132357,2.8903717578961645,0.1525199642769783,3.912023005428146,-1.1867861857837219,-1.4752103123981652
Lower Aripo,2,Lower Aripo 2,2,20,31.147,50,18,1.1647657155678546,3.438717932409335,2.8903717578961645,0.1525199642769783,3.912023005428146,-1.1867861857837219,-1.4752103123981652
Lower Aripo,2,Lower Aripo 2,1,21,151.463,92,20,0.12973465466813677,5.020341370699341,2.995732273553991,-2.0422640323840704,4.5217885770490405,-0.44609693508182424,0.0988016144562283
Lower Aripo,2,Lower Aripo 2,2,21,19.65,92,20,0.12973465466813677,2.9780773383152703,2.995732273553991,-2.0422640323840704,4.5217885770490405,-0.44609693508182424,0.0988016144562283
Lower Aripo,2,Lower Aripo 2,1,22,37.165,62,24,NA,3.6153674581772566,3.1780538303479458,NA,4.127134385045092,1.035281566321971,-1.0254926190111955
Lower Aripo,2,Lower Aripo 2,2,22,NA,62,24,NA,NA,3.1780538303479458,NA,4.127134385045092,1.035281566321971,-1.0254926190111955
Lower Aripo,2,Lower Aripo 2,1,23,18.866,71,20,2.695854977207675,2.9373613602276616,2.995732273553991,0.9917153997663121,4.2626798770413155,-0.44609693508182424,-0.6882043489709684
Lower Aripo,2,Lower Aripo 2,2,23,50.86,71,20,2.695854977207675,3.9290767599939738,2.995732273553991,0.9917153997663121,4.2626798770413155,-0.44609693508182424,-0.6882043489709684
Lower Aripo,2,Lower Aripo 2,1,24,15.255,96,22,3.9800065552277943,2.724907318168633,3.091042453358316,1.3812834663371494,4.564348191467836,0.2945923156200734,0.24870751225188484
Lower Aripo,2,Lower Aripo 2,2,24,60.715,96,22,3.9800065552277943,4.106190784505782,3.091042453358316,1.3812834663371494,4.564348191467836,0.2945923156200734,0.24870751225188484
Lower Aripo,2,Lower Aripo 2,1,25,12.144,117,22,4.331933465085639,2.4968352206532742,3.091042453358316,1.4660139700839614,4.762173934797756,0.2945923156200734,1.0357134756790816
Lower Aripo,2,Lower Aripo 2,2,25,52.607,117,22,4.331933465085639,3.9628491907372356,3.091042453358316,1.4660139700839614,4.762173934797756,0.2945923156200734,1.0357134756790816
Lower Aripo,2,Lower Aripo 2,1,26,33.324,98,22,0.29855359500660184,3.5062778581126626,3.091042453358316,-1.2088058145054401,4.584967478670572,0.2945923156200734,0.3236604611497131
Lower Aripo,2,Lower Aripo 2,2,26,9.949,98,22,0.29855359500660184,2.2974720436072227,3.091042453358316,-1.2088058145054401,4.584967478670572,0.2945923156200734,0.3236604611497131
Lower Aripo,2,Lower Aripo 2,1,27,125.485,93,22,1.6639996812368012,4.832186229516175,3.091042453358316,0.5092241508345762,4.532599493153256,0.2945923156200734,0.13627808890514242
Lower Aripo,2,Lower Aripo 2,2,27,208.807,93,22,1.6639996812368012,5.3414103803507516,3.091042453358316,0.5092241508345762,4.532599493153256,0.2945923156200734,0.13627808890514242
Lower Aripo,2,Lower Aripo 2,1,28,71.158,112,20,1.3995615391101492,4.2649027567253155,2.995732273553991,0.33615900121823256,4.718498871295094,-0.44609693508182424,0.8483311034345109
Lower Aripo,2,Lower Aripo 2,2,28,99.59,112,20,1.3995615391101492,4.601061757943548,2.995732273553991,0.33615900121823256,4.718498871295094,-0.44609693508182424,0.8483311034345109
Lower Aripo,2,Lower Aripo 2,1,29,201.09,82,16,0.12862399920433637,5.303752569037976,2.772588722239781,-2.0508618655824975,4.406719247264253,-1.9274754364856195,-0.275963130032913
Lower Aripo,2,Lower Aripo 2,2,29,25.865,82,16,0.12862399920433637,3.252890703455478,2.772588722239781,-2.0508618655824975,4.406719247264253,-1.9274754364856195,-0.275963130032913
Upper Aripo,3,Upper Aripo 3,1,39,30.452,97,22,1.6225206882963352,3.416151673443966,3.091042453358316,0.48398092039083185,4.574710978503383,0.2945923156200734,0.286183986700799
Upper Aripo,3,Upper Aripo 3,2,39,49.409,97,22,1.6225206882963352,3.900132593834798,3.091042453358316,0.48398092039083185,4.574710978503383,0.2945923156200734,0.286183986700799
Upper Aripo,3,Upper Aripo 3,1,40,93.789,99,24,0.4279073238865965,4.54104757834651,3.1780538303479458,-0.8488486398222315,4.59511985013459,1.035281566321971,0.3611369355986272
Upper Aripo,3,Upper Aripo 3,2,40,40.133,99,24,0.4279073238865965,3.6921989385242786,3.1780538303479458,-0.8488486398222315,4.59511985013459,1.035281566321971,0.3611369355986272
Upper Aripo,3,Upper Aripo 3,1,41,61.597,94,28,0.5678847995843953,4.120613168054826,3.332204510175204,-0.5658366984643701,4.543294782270004,2.5166600677257662,0.17375456335405656
Upper Aripo,3,Upper Aripo 3,2,41,34.98,94,28,0.5678847995843953,3.554776469590456,3.332204510175204,-0.5658366984643701,4.543294782270004,2.5166600677257662,0.17375456335405656
Upper Aripo,3,Upper Aripo 3,1,42,23.148,133,28,2.2695265249697596,3.141908383711592,3.332204510175204,0.8195712304291461,4.890349128221754,2.5166600677257662,1.6353370668617075
Upper Aripo,3,Upper Aripo 3,2,42,52.535,133,28,2.2695265249697596,3.9614796141407385,3.332204510175204,0.8195712304291461,4.890349128221754,2.5166600677257662,1.6353370668617075
Upper Aripo,3,Upper Aripo 3,1,43,65.984,134,20,0.5143974296799224,4.189412288394495,2.995732273553991,-0.664759102805421,4.897839799950911,-0.44609693508182424,1.6728135413106218
Upper Aripo,3,Upper Aripo 3,2,43,33.942,134,20,0.5143974296799224,3.5246531855890737,2.995732273553991,-0.664759102805421,4.897839799950911,-0.44609693508182424,1.6728135413106218
Upper Aripo,3,Upper Aripo 3,1,44,44.72,61,24,0.18436940966010734,3.8004208288468435,3.1780538303479458,-1.6908138728352815,4.110873864173311,1.035281566321971,-1.0629690934601097
Upper Aripo,3,Upper Aripo 3,2,44,8.245,61,24,0.18436940966010734,2.1096069560115622,3.1780538303479458,-1.6908138728352815,4.110873864173311,1.035281566321971,-1.0629690934601097
Upper Aripo,3,Upper Aripo 3,1,45,12.932,63,20,NA,2.559704859863187,2.995732273553991,NA,4.143134726391533,-0.44609693508182424,-0.9880161445622815
Upper Aripo,3,Upper Aripo 3,2,45,NA,63,20,NA,NA,2.995732273553991,NA,4.143134726391533,-0.44609693508182424,-0.9880161445622815
Upper Aripo,3,Upper Aripo 3,1,46,63.316,122,19,0.06156421757533641,4.1481380618234915,2.9444389791664403,-2.7876744607381228,4.804021044733257,-0.816441560432773,1.2230958479236522
Upper Aripo,3,Upper Aripo 3,2,46,3.898,122,19,0.06156421757533641,1.360463601085369,2.9444389791664403,-2.7876744607381228,4.804021044733257,-0.816441560432773,1.2230958479236522
Upper Aripo,3,Upper Aripo 3,1,47,53.751,118,20,0.7802459489125784,3.9843622714858706,2.995732273553991,-0.24814608988243486,4.770684624465665,-0.44609693508182424,1.0731899501279958
Upper Aripo,3,Upper Aripo 3,2,47,41.939,118,20,0.7802459489125784,3.7362161816034356,2.995732273553991,-0.24814608988243486,4.770684624465665,-0.44609693508182424,1.0731899501279958
Upper Aripo,3,Upper Aripo 3,1,48,60.973,101,22,0.43337214832794846,4.110431143236038,3.091042453358316,-0.8361584551475496,4.61512051684126,0.2945923156200734,0.43608988449645547
Upper Aripo,3,Upper Aripo 3,2,48,26.424,101,22,0.43337214832794846,3.2742726880884887,3.091042453358316,-0.8361584551475496,4.61512051684126,0.2945923156200734,0.43608988449645547
Upper Aripo,2,Upper Aripo 2,1,49,18.654,115,22,2.5293770773024553,2.926060600304672,3.091042453358316,0.927973057918703,4.74493212836325,0.2945923156200734,0.9607605267812533
Upper Aripo,2,Upper Aripo 2,2,49,47.183,115,22,2.5293770773024553,3.8540336582233747,3.091042453358316,0.927973057918703,4.74493212836325,0.2945923156200734,0.9607605267812533
Upper Aripo,2,Upper Aripo 2,1,50,68.909,96,18,0.699153956667489,4.2327867935819175,2.8903717578961645,-0.35788430825721235,4.564348191467836,-1.1867861857837219,0.24870751225188484
Upper Aripo,2,Upper Aripo 2,2,50,48.178,96,18,0.699153956667489,3.874902485324705,2.8903717578961645,-0.35788430825721235,4.564348191467836,-1.1867861857837219,0.24870751225188484
Upper Aripo,2,Upper Aripo 2,1,51,9.109,86,22,15.658359863870897,2.209262935762673,3.091042453358316,2.7510049509697962,4.454347296253507,0.2945923156200734,-0.12605723223725648
Upper Aripo,2,Upper Aripo 2,2,51,142.632,86,22,15.658359863870897,4.96026788673247,3.091042453358316,2.7510049509697962,4.454347296253507,0.2945923156200734,-0.12605723223725648
Upper Aripo,2,Upper Aripo 2,1,52,60.274,115,22,0.2962305471679331,4.098900833303313,3.091042453358316,-1.2166172522569008,4.74493212836325,0.2945923156200734,0.9607605267812533
Upper Aripo,2,Upper Aripo 2,2,52,17.855,115,22,0.2962305471679331,2.8822835810464116,3.091042453358316,-1.2166172522569008,4.74493212836325,0.2945923156200734,0.9607605267812533
Upper Aripo,2,Upper Aripo 2,1,53,15.457,118,22,2.0543443100213494,2.7380619751701816,3.091042453358316,0.7199567264851382,4.770684624465665,0.2945923156200734,1.0731899501279958
Upper Aripo,2,Upper Aripo 2,2,53,31.754,118,22,2.0543443100213494,3.4580187016553197,3.091042453358316,0.7199567264851382,4.770684624465665,0.2945923156200734,1.0731899501279958
Upper Aripo,2,Upper Aripo 2,1,54,34.556,92,20,0.5383435582822086,3.542581196496638,2.995732273553991,-0.61925833846078715,4.5217885770490405,-0.44609693508182424,0.0988016144562283
Upper Aripo,2,Upper Aripo 2,2,54,18.603,92,20,0.5383435582822086,2.9233228580358506,2.995732273553991,-0.61925833846078715,4.5217885770490405,-0.44609693508182424,0.0988016144562283
Upper Aripo,2,Upper Aripo 2,1,55,43.09,120,20,0.38185193780459503,3.763290951627747,2.995732273553991,-0.9627223428810081,4.787491742782046,-0.44609693508182424,1.148142899025824
Upper Aripo,2,Upper Aripo 2,2,55,16.454,120,20,0.38185193780459503,2.8005686087467385,2.995732273553991,-0.9627223428810081,4.787491742782046,-0.44609693508182424,1.148142899025824
Upper Aripo,2,Upper Aripo 2,1,56,16.675,138,20,3.1147226386806595,2.8139105918016876,2.995732273553991,1.136140107723116,4.927253685157205,-0.44609693508182424,1.8227194391062782
Upper Aripo,2,Upper Aripo 2,2,56,51.938,138,20,3.1147226386806595,3.9500506995248035,2.995732273553991,1.136140107723116,4.927253685157205,-0.44609693508182424,1.8227194391062782
Upper Aripo,2,Upper Aripo 2,1,57,10.248,76,22,NA,2.327082564594433,3.091042453358316,NA,4.330733340286331,0.2945923156200734,-0.5008219767263977
Upper Aripo,2,Upper Aripo 2,2,57,NA,76,22,NA,NA,3.091042453358316,NA,4.330733340286331,0.2945923156200734,-0.5008219767263977
Upper Aripo,2,Upper Aripo 2,1,58,79.771,122,18,0.6547868272931265,4.379160029885581,2.8903717578961645,-0.4234455508330098,4.804021044733257,-1.1867861857837219,1.2230958479236522
Upper Aripo,2,Upper Aripo 2,2,58,52.233,122,18,0.6547868272931265,3.955714479052571,2.8903717578961645,-0.4234455508330098,4.804021044733257,-1.1867861857837219,1.2230958479236522
Upper Aripo,2,Upper Aripo 2,1,59,34.708,112,20,0.29076869885905265,3.5469702079312433,2.995732273553991,-1.235227177152432,4.718498871295094,-0.44609693508182424,0.8483311034345109
Upper Aripo,2,Upper Aripo 2,2,59,10.092,112,20,0.29076869885905265,2.3117430307788114,2.995732273553991,-1.235227177152432,4.718498871295094,-0.44609693508182424,0.8483311034345109
